Ime;Višinska_razlika;Zahtevnost;Čas
Navrše;315;lahka označena pot;135
Navrše;75;lahka označena pot;40
Novaška gora;615;lahka neoznačena steza;120
Obrovnik;240;lahko brezpotje, lahka označena pot;70
Očna;180;lahka označena pot;55
Očna;180;lahka označena pot;80
Orlovo gnezdo (Veli Badin);35;lahka označena pot, zahtevna označena pot;60
Orlovo gnezdo (Veli Badin);185;lahka označena pot, zahtevna označena pot;140
Ortneški Stari grad;225;lahka označena pot;40
Osojnica;245;lahka označena pot;60
Osojnica;245;lahka neoznačena steza;45
Ostrič;276;lahka označena pot;65
Otliški maj;600;lahka neoznačena steza;85
Otliški maj;250;lahka označena pot;105
Otliški maj;40;lahka označena pot;15
Otliško okno;550;lahka označena pot;80
Otliško okno;20;lahka označena pot;25
Otliško okno;255;lahka označena pot;120
Partizanska bolnica Krvavice;315;lahka označena pot;60
Pečna reber;113;lahka označena pot;20
Petelinjek;415;delno zahtevna označena pot, lahka neoznačena steza;80
Petelinjek;400;lahka neoznačena steza;75
Petelinjsko jezero;15;lahka označena pot;20
Petričev hrib;257;lahka neoznačena steza;40
Petričev hrib;450;lahka neoznačena steza;90
Petričev hrib;500;lahka neoznačena steza;95
Petričev hrib;500;lahka neoznačena steza;95
Pirnatova koča na Javorniku;326;lahka označena pot;50
Pirnatova koča na Javorniku;356;lahka označena pot;60
Pirnatova koča na Javorniku;470;lahka označena pot;140
Pirnatova koča na Javorniku;300;lahka označena pot;95
Pirnatova koča na Javorniku;260;lahka označena pot;80
Pirnatova koča na Javorniku;565;lahka označena pot;170
Planina Jegno;400;lahka označena pot;150
Planinska jama;5;lahka označena pot;5
Planinski dom na Kureščku;53;lahka označena pot;10
Planinski dom na Kureščku;470;lahka označena pot;100
Planinski dom na Kureščku;485;lahka označena pot;105
Planinski dom pod Ježo;140;lahka označena pot;65
Planinski dom v Novem Svetu;25;lahka označena pot;25
Plaz;290;lahka označena pot;40
Podrta gora nad Ajdovščino;410;lahka označena pot;105
Podrta gora nad Ajdovščino;520;lahka označena pot;95
Podrta gora nad Ajdovščino;509;lahka neoznačena steza;80
Poldanovec;350;lahka označena pot;90
Poldanovec;450;delno zahtevna označena pot;120
Poldanovec;1000;zahtevna označena pot;180
Polšakova koča na Zagori;300;lahka neoznačena steza;105
Polšakova koča na Zagori;110;lahka neoznačena steza;60
Pomjan;400;lahka označena pot;105
Pomjan;370;lahka označena pot;90
Primož;153;lahka označena pot;25
Primož;173;lahka neoznačena steza;40
Prižnica;298;lahka neoznačena steza;50
Prižnica;310;lahka neoznačena steza;75
Racna gora;556;lahka označena pot;105
Racna gora;232;lahka označena pot;45
Rajna peč;50;lahka označena pot;40
Rakitna;75;lahka označena pot;60
Rakitna;425;lahka označena pot;105
Rakov Škocjan;175;lahka označena pot;170
Rakov Škocjan;100;lahka označena pot;105
Rakov Škocjan;75;lahka označena pot;70
Razgledna točka Široko;580;lahka označena pot;100
Razsušica;283;lahka neoznačena steza, lahka označena pot;75
Renški vrh;350;lahka označena pot;115
Rezinski vrh;770;lahka označena pot;160
Rimska trdnjava (Lanišče);-5;lahka označena pot;1
Rotovc;175;lahka označena pot;30
Rotovc;120;lahka označena pot;45
Rotovc;158;lahka označena pot;55
Rotovc;250;lahka neoznačena steza;75
Sabotin;509;lahka označena pot;90
Sabotin;509;delno zahtevna označena pot;120
Sabotin;409;lahka označena pot;60
Sabotin;409;lahka označena pot;75
Sabotin;473;lahka označena pot;120
Sekirica;70;lahka neoznačena steza;20
Sekirica;50;lahka neoznačena steza;10
Sekulak;488;lahka označena pot;90
Sekulak;565;lahka označena pot;100
Sekulak;840;lahka neoznačena steza;170
Šenčurjev vrh;240;lahka neoznačena steza;90
Šenčurjev vrh;310;lahka označena pot;110
Šilentabor;230;lahka označena pot;90
Šilentabor;290;lahka označena pot;60
Šilentabor;330;lahka neoznačena steza;125
Šilentabor;260;lahka neoznačena steza;110
Šilentabor;185;lahka označena pot;35
Šilentabor;230;lahka neoznačena steza;75
Sinji vrh;800;lahka označena pot;135
Sinji vrh;230;lahka označena pot;80
Sinji vrh;700;lahka neoznačena steza;105
Sinji vrh;500;lahka označena pot;175
Sinji vrh;600;lahka označena pot;205
Sinji vrh;550;lahka označena pot;190
Sinji vrh;730;lahka označena pot;190
Sinji vrh;565;lahka označena pot;200
Sinji vrh;715;lahka označena pot;180
Sinji vrh;735;lahka označena pot;175
Sinji vrh;720;lahka neoznačena steza;165
Škabrijel;324;lahka označena pot;50
Škabrijel;243;lahka označena pot;40
