Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Bivak na Rušju;Julijske Alpe;1980;1;['bivak']
Bivak pod Kotovim sedlom;Julijske Alpe;1965;2;['bivak']
Bivak pod Luknjo;Julijske Alpe;1480;1;['bivak']
Bivak pod Muzcem;Julijske Alpe;1550;1;['bivak', 'sedlo']
Bivak pod Špikom;Julijske Alpe;1424;2;['koča', 'bivak']
Bivak v Veliki Dnini;Julijske Alpe;2180;1;['bivak']
Bivak Za Akom;Julijske Alpe;1340;1;['bivak']
Blejska koča na Lipanci;Julijske Alpe;1630;5;['koča', 'planina']
Blejski grad;Julijske Alpe;599;1;['']
Blejsko jezero;Julijske Alpe;475;1;['jezero', 'cerkev']
Bogatin;Julijske Alpe;1977;4;['vrh']
Boršt;Julijske Alpe;931;3;['vrh']
Bovški Gamsovec;Julijske Alpe;2392;3;['vrh']
Brda;Julijske Alpe;2008;9;['vrh']
Briceljk;Julijske Alpe;2346;1;['vrh']
Brinova glava;Julijske Alpe;1586;1;['vrh']
Čelo;Julijske Alpe;2228;7;['vrh']
Cesar;Julijske Alpe;2098;1;['vrh']
Četrt;Julijske Alpe;1832;4;['vrh']
Ciprnik;Julijske Alpe;1745;4;['vrh']
Čisti vrh;Julijske Alpe;1875;1;['vrh']
Cmir;Julijske Alpe;2393;4;['vrh']
Črna gora;Julijske Alpe;1350;1;['vrh', 'bivak']
Črna prst;Julijske Alpe;1844;18;['vrh', 'koča', 'bivak']
Črno jezero;Julijske Alpe;1294;3;['jezero']
Čukla;Julijske Alpe;1767;1;['vrh']
Debela peč;Julijske Alpe;2014;13;['vrh']
Debeli vrh;Julijske Alpe;2390;1;['vrh']
