Ime;Gorovje;Višina;Število_poti;Vrsta_cilja
Na pečeh pri Črnem Vrhu;Karavanke;1318;1;['vrh']
Obel kamen (Olševa);Karavanke;1911;6;['vrh']
Ostrica;Karavanke;1182;1;['vrh']
Palec;Karavanke;2026;3;['vrh']
Partizanska bolnica Krtina;Karavanke;1040;2;['']
Partizanska bolnica na Formili/Boču;Karavanke;630;5;['']
Partizanska bolnica Zima;Karavanke;290;1;['']
Peč (Tromeja);Karavanke;1508;11;['vrh']
Pečovnik;Karavanke;1640;2;['vrh']
Pečovnik (kota 1668);Karavanke;1668;2;['vrh']
Penatca;Karavanke;1299;1;['vrh']
Petelinjek (nad Korenskim sedlom);Karavanke;1552;2;['vrh']
Pikov vrh;Karavanke;1149;5;['vrh']
Plakopec (Brezejec);Karavanke;1005;1;['vrh']
Planica;Karavanke;1508;3;['vrh']
Planina Brsnina;Karavanke;1357;2;['planina']
Planina Dolžanka;Karavanke;1090;1;['planina']
Planina Dovška Rožca;Karavanke;1650;6;['koča', 'planina']
Planina Goreljše;Karavanke;1125;1;['planina']
Planina Ilovica;Karavanke;1462;2;['planina']
Planina Javornik;Karavanke;1550;5;['planina']
Planina Kladje / Quadiaalm;Karavanke;1271;3;['planina']
Planina Korošica;Karavanke;1554;6;['koča', 'planina']
Planina Možine;Karavanke;1352;1;['planina']
Planina Planinca;Karavanke;1136;3;['koča', 'planina']
Planina Pungrat;Karavanke;1447;3;['planina']
Planina Rep (Repija);Karavanke;1330;2;['planina']
Planina Seča;Karavanke;1698;3;['planina', 'sedlo']
Planina Spodnja Dolga njiva;Karavanke;1400;4;['koča', 'planina']
Planina Spodnja Konjščica;Karavanke;1451;5;['planina']
Planina Stamare;Karavanke;1400;5;['planina']
Planina Zali potok;Karavanke;1032;1;['planina']
Planina Zgornja Dolga njiva;Karavanke;1580;2;['planina']
Planina Zgornja Konjščica;Karavanke;1578;4;['planina', 'sedlo']
Planinska koča Velikonočnica;Karavanke;550;3;['koča']
Planinski dom na kmetiji Kumer;Karavanke;1220;1;['koča']
Plešivec;Karavanke;1801;3;['vrh']
Plešivec;Karavanke;822;5;['vrh']
Plešivška kopa (Kozarnica);Karavanke;1414;1;['vrh']
Pogorevc;Karavanke;1076;1;['vrh']
Polna peč;Karavanke;1503;2;['vrh']
Poštarski dom pod Plešivcem;Karavanke;805;4;['koča']
Potočka zijalka;Karavanke;1660;3;['']
Potočnikova planina;Karavanke;1410;1;['planina']
Potoška planina;Karavanke;1270;4;['koča', 'planina']
Potoški Stol;Karavanke;2014;5;['vrh']
Prešernova koča na Stolu;Karavanke;2174;14;['vrh', 'koča']
Primožkovi hribi;Karavanke;1326;2;['vrh']
Ptičji vrh;Karavanke;1550;2;['vrh']
Pungartska gora;Karavanke;2025;1;['vrh']
Pusti Rovt;Karavanke;1296;2;['planina']
Radojč;Karavanke;937;2;['vrh']
Ramšakov vrh;Karavanke;970;4;['vrh']
Ravnocerje;Karavanke;679;1;['vrh']
Razborški ribniki;Karavanke;330;1;['jezero']
Razgledna točka na Stenici;Karavanke;630;1;['']
Rekaršica;Karavanke;1554;2;['sedlo']
RIS Dolina (Dovžanova soteska);Karavanke;720;3;['']
Robič;Karavanke;1384;5;['vrh']
Roblekov dom na Begunjščici;Karavanke;1657;9;['koča', 'bivak', 'planina']
Roblekova planina;Karavanke;1284;5;['planina', 'sedlo']
Robniške peči;Karavanke;1323;2;['vrh']
Rovt Vrse;Karavanke;1200;3;['planina']
Rožca;Karavanke;1587;6;['planina', 'sedlo']
Rudijev dom na Donački gori;Karavanke;590;5;['koča']
Ruš;Karavanke;1614;4;['vrh']
Skala;Karavanke;750;3;['vrh']
Skalni vrh (Vodemla);Karavanke;780;2;['vrh']
Škrbina;Karavanke;1869;1;['sedlo']
Slap pod Gozdašnico;Karavanke;760;1;['slap']
Slap pod Kurico;Karavanke;760;1;['slap']
Slapišče pod Kalvarijo;Karavanke;700;1;['slap']
Slapovi Dobršnik;Karavanke;800;2;['slap']
Slapovi v Preski;Karavanke;910;1;['slap']
Smodivnik;Karavanke;923;1;['vrh']
Smolnik;Karavanke;1075;2;['vrh']
Smučarski dom Črni vrh;Karavanke;1156;4;['koča']
Snežnik (nad Koprivno);Karavanke;1543;1;['vrh']
Šoparjev vrh;Karavanke;1524;3;['vrh']
Soteska Mučevo;Karavanke;690;2;['']
Španov vrh;Karavanke;1334;6;['vrh']
Špicasti vrh (Kislica);Karavanke;994;2;['vrh']
Špik (Paški Kozjak);Karavanke;1108;1;['vrh']
Spodnji Plot;Karavanke;1682;3;['vrh']
Spominska plošča Jožeta Rozmana;Karavanke;1450;1;['']
Srednja peč;Karavanke;1920;5;['vrh']
Srednji vrh (nad Završnico);Karavanke;1796;5;['vrh']
Srnjak;Karavanke;955;1;['koča']
Štalekarjev vrh;Karavanke;792;1;['vrh']
Stara cerkev sv. Ožbolta (Jezersko);Karavanke;961;1;['cerkev']
Stegovnik;Karavanke;1692;9;['vrh']
Stegovniški slap;Karavanke;872;1;['slap']
Stenica;Karavanke;1091;3;['vrh']
Stol;Karavanke;2236;20;['vrh']
Stolpnik;Karavanke;1012;16;['vrh']
Strana;Karavanke;711;1;['vrh']
Stropnica;Karavanke;880;2;['vrh']
Stropnik;Karavanke;862;1;['vrh']
Štrukljev vrh;Karavanke;1227;1;['vrh']
Struška;Karavanke;1944;8;['vrh']
Studeniški grad;Karavanke;315;3;['']
Šumahov vrh;Karavanke;1155;4;['vrh']
Sv. Ilija (Spodnje Dramlje);Karavanke;304;2;['cerkev']
Sv. Marija Magdalena (Dramlje);Karavanke;327;2;['cerkev']
Sv. Tomaž nad Vojnikom;Karavanke;444;2;['vrh', 'koča', 'cerkev']
Sv. Uršula nad Dramljami;Karavanke;464;3;['cerkev']
Svačica;Karavanke;1953;9;['vrh']
Sveta Ana (Ljubelj);Karavanke;1032;2;['cerkev']
Sveta Ana v Koprivni;Karavanke;1218;2;['cerkev']
Sveta Barbara v Zagradu;Karavanke;435;3;['vrh', 'cerkev']
Sveta Marjeta na Boču;Karavanke;655;2;['cerkev']
Sveti Donat;Karavanke;511;1;['cerkev']
Sveti Duh pod Olševo;Karavanke;1232;1;['cerkev']
Sveti Jakob v Koprivni;Karavanke;1062;1;['vrh', 'cerkev']
Sveti Jošt na Paškem Kozjaku;Karavanke;1063;1;['cerkev']
Sveti Mihael na Pečici;Karavanke;500;4;['cerkev']
Sveti Miklavž (Sele);Karavanke;435;1;['cerkev']
Sveti Pankracij (Grajski grič);Karavanke;530;3;['vrh', 'cerkev']
Sveti Rok (Sele);Karavanke;582;1;['cerkev']
Sveti Rupert (Završe);Karavanke;815;1;['vrh', 'koča', 'cerkev']
Sveti Vid (Završe);Karavanke;808;1;['vrh', 'cerkev']
Sveti Vid pod Jernejevim vrhom;Karavanke;1075;1;['sedlo', 'cerkev']
Tamarča;Karavanke;1728;1;['vrh']
Tegoška planina;Karavanke;1430;4;['planina']
Temnjak;Karavanke;798;1;['vrh']
Tolsta Košuta - Vzhodni vrh;Karavanke;2057;1;['vrh']
Tolsta Košuta - Zahodni vrh;Karavanke;2026;1;['vrh']
Tolsti vrh (pri Poljški planini);Karavanke;1225;2;['vrh']
Tomčeva koča na Poljški planini;Karavanke;1180;8;['koča', 'planina']
Toplar;Karavanke;2000;3;['vrh']
Trupejevo poldne;Karavanke;1931;8;['vrh']
Turška jama v Gozdašnici;Karavanke;835;1;['']
Uršlja gora (Plešivec);Karavanke;1699;14;['vrh', 'koča', 'cerkev']
Vajnež;Karavanke;2104;5;['vrh']
Valvasorjev dom pod Stolom;Karavanke;1181;4;['koča']
Velika Boncla;Karavanke;1241;1;['vrh']
Velika glava;Karavanke;2077;2;['vrh']
Veliki Javornik (Ženiklovec);Karavanke;1716;5;['vrh']
Veliki Juhej;Karavanke;865;1;['vrh']
Veliki vrh (Košuta);Karavanke;2088;9;['vrh']
Veliki vrh (nad Mežiško dolino);Karavanke;1165;5;['vrh']
Veliki vrh nad Komatevro;Karavanke;1634;1;['vrh']
Veliki vrh nad Završnikom;Karavanke;968;5;['vrh']
Veliko Kladivo;Karavanke;2094;8;['vrh']
Vetrh vrh;Karavanke;1268;1;['vrh']
Vinska gora;Karavanke;806;2;['vrh']
Virnikov Grintovec;Karavanke;1654;6;['vrh']
Virnikova planina;Karavanke;1160;1;['planina']
Visoka Bavha;Karavanke;1650;1;['vrh']
Visoki vrh;Karavanke;1828;3;['vrh']
Visoko;Karavanke;991;2;['vrh']
Volinjak;Karavanke;886;6;['vrh']
Vošca;Karavanke;1737;6;['vrh']
Votlina Kralja Matjaža;Karavanke;1670;3;['']
Vrh Ljubeljščice (Triangel);Karavanke;1704;3;['vrh']
Vrtača;Karavanke;2181;12;['vrh']
Zabreška planina;Karavanke;1225;2;['planina']
Zajčnik;Karavanke;1746;3;['vrh']
Zajmenove peči;Karavanke;1745;2;['vrh']
Zavetišče na Kalu;Karavanke;1112;5;['koča', 'sedlo']
Zavetišče na planini Šija;Karavanke;1528;3;['koča', 'planina']
Zbelovski grad;Karavanke;400;3;['']
Zelenjak;Karavanke;2024;3;['vrh']
Železna (Kisla) voda;Karavanke;1115;1;['']
Žirovniška planina;Karavanke;1200;2;['planina']
Žleb (Suho ruševje);Karavanke;1916;1;['sedlo']
Žmitkov špic;Karavanke;1124;1;['vrh']
Ančnikovo gradišče;Pohorje, Dravinjske gorice in Haloze;750;1;['koča']
Anski vrh (nad Pamečami);Pohorje, Dravinjske gorice in Haloze;756;1;['vrh', 'cerkev']
Brinjeva gora (nad Zrečami);Pohorje, Dravinjske gorice in Haloze;616;5;['vrh', 'cerkev']
Črni vrh;Pohorje, Dravinjske gorice in Haloze;1543;4;['vrh', 'bivak']
Črno jezero na Pohorju;Pohorje, Dravinjske gorice in Haloze;1196;7;['jezero']
Dom na Osankarici;Pohorje, Dravinjske gorice in Haloze;1193;9;['koča']
Framski slap;Pohorje, Dravinjske gorice in Haloze;925;2;['slap']
Globokarjev vrh;Pohorje, Dravinjske gorice in Haloze;616;1;['vrh']
Golarjev vrh;Pohorje, Dravinjske gorice in Haloze;843;1;['vrh']
Golek;Pohorje, Dravinjske gorice in Haloze;769;5;['vrh']
Golika;Pohorje, Dravinjske gorice in Haloze;609;1;['vrh', 'cerkev']
Gradišče (nad Slovenj Gradcem);Pohorje, Dravinjske gorice in Haloze;516;1;['vrh']
Grmovškov dom pod Veliko Kopo;Pohorje, Dravinjske gorice in Haloze;1371;2;['koča', 'sedlo']
Hlebov vrh (Rdeči Breg);Pohorje, Dravinjske gorice in Haloze;913;8;['vrh', 'cerkev']
Hožičev vrh;Pohorje, Dravinjske gorice in Haloze;595;1;['vrh']
Izletniška kmetija Ančka;Pohorje, Dravinjske gorice in Haloze;460;2;['koča']
Izvir Polskave;Pohorje, Dravinjske gorice in Haloze;1180;4;['']
Izvir reke Pake;Pohorje, Dravinjske gorice in Haloze;1412;1;['']
Izvir Toplega (Studeniškega) potoka;Pohorje, Dravinjske gorice in Haloze;295;5;['slap']
Janški vrh;Pohorje, Dravinjske gorice in Haloze;417;3;['vrh', 'cerkev']
Janževski vrh;Pohorje, Dravinjske gorice in Haloze;915;2;['vrh', 'koča', 'cerkev']
Jelovice;Pohorje, Dravinjske gorice in Haloze;623;3;['vrh']
Jezerc;Pohorje, Dravinjske gorice in Haloze;1222;1;['jezero']
Jezerce Drtičnikovo;Pohorje, Dravinjske gorice in Haloze;960;2;['jezero']
Jezerski vrh;Pohorje, Dravinjske gorice in Haloze;1537;5;['vrh']
Kapela sv. Ane v Puščavi;Pohorje, Dravinjske gorice in Haloze;330;2;['vrh', 'cerkev']
Kebeljski grad (Zajčev grad);Pohorje, Dravinjske gorice in Haloze;813;3;['vrh']
Kerješetov vrh;Pohorje, Dravinjske gorice in Haloze;590;2;['vrh']
Klančnik (Glančnik);Pohorje, Dravinjske gorice in Haloze;877;7;['vrh']
Klopni vrh;Pohorje, Dravinjske gorice in Haloze;1340;14;['vrh']
Kluže;Pohorje, Dravinjske gorice in Haloze;496;1;['vrh']
Koča na Klopnem vrhu;Pohorje, Dravinjske gorice in Haloze;1260;10;['koča']
Koča na Pesku;Pohorje, Dravinjske gorice in Haloze;1386;4;['koča']
Koča na Pesniku;Pohorje, Dravinjske gorice in Haloze;1101;2;['koča']
Koča na Šumiku;Pohorje, Dravinjske gorice in Haloze;1100;7;['koča']
Koča Planinc;Pohorje, Dravinjske gorice in Haloze;1010;2;['koča']
Koča pod Kremžarjevim vrhom;Pohorje, Dravinjske gorice in Haloze;1102;8;['koča']
Koglerjev vrh;Pohorje, Dravinjske gorice in Haloze;698;2;['vrh']
Kremžarjev vrh;Pohorje, Dravinjske gorice in Haloze;1164;8;['vrh']
Lamprehtov vrh;Pohorje, Dravinjske gorice in Haloze;1230;2;['vrh']
Lasina;Pohorje, Dravinjske gorice in Haloze;1412;3;['vrh']
Ledinekov kogel;Pohorje, Dravinjske gorice in Haloze;1182;4;['vrh']
Lobnikov vrh;Pohorje, Dravinjske gorice in Haloze;705;1;['vrh']
Lorbekov vrh;Pohorje, Dravinjske gorice in Haloze;578;1;['vrh']
Lovrenška jezera;Pohorje, Dravinjske gorice in Haloze;1520;5;['vrh', 'jezero']
Lovska koča Klančnik;Pohorje, Dravinjske gorice in Haloze;865;7;['koča']
Lovski dom - LD Fram;Pohorje, Dravinjske gorice in Haloze;668;1;['koča']
Lovski dom LD Gradišče;Pohorje, Dravinjske gorice in Haloze;880;1;['koča']
Lukov slap;Pohorje, Dravinjske gorice in Haloze;1240;1;['slap']
Majalova kapelica;Pohorje, Dravinjske gorice in Haloze;823;2;['']
Mali Črni vrh;Pohorje, Dravinjske gorice in Haloze;1533;2;['vrh', 'jezero']
Mariborska koča;Pohorje, Dravinjske gorice in Haloze;1086;14;['koča']
Mariborski razglednik (Cigelnica);Pohorje, Dravinjske gorice in Haloze;1147;3;['vrh']
Maroltova jelka (Bistriški vintgar);Pohorje, Dravinjske gorice in Haloze;800;1;['']
Ostruščica;Pohorje, Dravinjske gorice in Haloze;1498;5;['vrh']
Partizanska bolnišnica Jesen;Pohorje, Dravinjske gorice in Haloze;1035;3;['']
Pečke;Pohorje, Dravinjske gorice in Haloze;720;5;['vrh', 'koča']
Pesek;Pohorje, Dravinjske gorice in Haloze;1423;3;['vrh']
Planinski dom Zarja (Hotel Zarja);Pohorje, Dravinjske gorice in Haloze;1113;2;['koča']
Pot med krošnjami Pohorje;Pohorje, Dravinjske gorice in Haloze;1460;1;['']
Potnikova smreka;Pohorje, Dravinjske gorice in Haloze;651;2;['']
Ptujska Gora;Pohorje, Dravinjske gorice in Haloze;342;4;['vrh', 'koča', 'cerkev']
Razgledna ploščad pri Ančnikovem gradišču;Pohorje, Dravinjske gorice in Haloze;760;1;['vrh']
Repnikov vrh;Pohorje, Dravinjske gorice in Haloze;988;3;['vrh']
Ribnica na Pohorju;Pohorje, Dravinjske gorice in Haloze;715;1;['koča', 'cerkev']
Ribnik zahodno od Ošelja;Pohorje, Dravinjske gorice in Haloze;824;2;['jezero']
Ribnika Devin v Ošelju;Pohorje, Dravinjske gorice in Haloze;812;2;['jezero']
Ribniška koča;Pohorje, Dravinjske gorice in Haloze;1507;8;['koča']
Ribniško jezero;Pohorje, Dravinjske gorice in Haloze;1490;5;['jezero']
Rogla;Pohorje, Dravinjske gorice in Haloze;1517;10;['vrh']
Rudnica (nad Podčetrtkom);Pohorje, Dravinjske gorice in Haloze;548;7;['vrh', 'koča', 'jezero', 'bivak', 'planina', 'cerkev']
Ruška koča na Arehu;Pohorje, Dravinjske gorice in Haloze;1246;14;['koča', 'cerkev']
Sedovnikov vrh;Pohorje, Dravinjske gorice in Haloze;942;1;['vrh']
Šetorov mlin;Pohorje, Dravinjske gorice in Haloze;745;2;['']
Skala (nad Dravogradom);Pohorje, Dravinjske gorice in Haloze;525;1;['']
Slap Mali Šumik;Pohorje, Dravinjske gorice in Haloze;890;4;['slap']
Slap Šum (Bistriški vintgar);Pohorje, Dravinjske gorice in Haloze;590;1;['slap']
Slap Veliki Šumik;Pohorje, Dravinjske gorice in Haloze;950;6;['slap']
Sv. Marjeta (Ritoznoj);Pohorje, Dravinjske gorice in Haloze;407;1;['cerkev']
Sv. Peter in Pavel (Veliko Tinje);Pohorje, Dravinjske gorice in Haloze;655;1;['cerkev']
Sveta Barbara nad Slovenj Gradcem;Pohorje, Dravinjske gorice in Haloze;829;1;['cerkev']
Sveta Lucija nad Studenicami;Pohorje, Dravinjske gorice in Haloze;290;3;['cerkev']
Sveta Magdalena (Brda);Pohorje, Dravinjske gorice in Haloze;718;1;['cerkev']
Sveta Magdalena (Velika Varnica);Pohorje, Dravinjske gorice in Haloze;370;1;['cerkev']
Sveta Marija (Smolnik);Pohorje, Dravinjske gorice in Haloze;860;2;['cerkev']
Sveta Uršula (Bojtina);Pohorje, Dravinjske gorice in Haloze;1006;2;['cerkev']
Sveti Avguštin;Pohorje, Dravinjske gorice in Haloze;504;4;['vrh', 'cerkev']
Sveti Bolfenk (Jelovice);Pohorje, Dravinjske gorice in Haloze;537;2;['vrh', 'cerkev']
Sveti Bolfenk (Mariborsko Pohorje);Pohorje, Dravinjske gorice in Haloze;1040;2;['cerkev']
Sveti Danijel (nad Trbonjami);Pohorje, Dravinjske gorice in Haloze;845;1;['vrh', 'cerkev']
Sveti Ignacij (Rdeči Breg);Pohorje, Dravinjske gorice in Haloze;885;8;['cerkev']
Sveti Janez Krstnik (Šentjanž nad Dravčami);Pohorje, Dravinjske gorice in Haloze;655;1;['vrh', 'cerkev']
Sveti Križ (Kumen);Pohorje, Dravinjske gorice in Haloze;928;1;['cerkev']
Sveti Križ (Planica);Pohorje, Dravinjske gorice in Haloze;692;1;['cerkev']
Sveti Martin (Zlakova);Pohorje, Dravinjske gorice in Haloze;589;1;['vrh', 'cerkev']
Sveti Mohor (Lačna Gora);Pohorje, Dravinjske gorice in Haloze;602;1;['vrh', 'cerkev']
Sveti Primož (Sveti Primož na Pohorju);Pohorje, Dravinjske gorice in Haloze;667;1;['vrh', 'cerkev']
Sveti Trije kralji;Pohorje, Dravinjske gorice in Haloze;1181;13;['koča', 'cerkev']
Sveti Urh (Urh);Pohorje, Dravinjske gorice in Haloze;895;4;['cerkev']
Tiho jezero (Falski ribnik);Pohorje, Dravinjske gorice in Haloze;1266;2;['jezero']
Trije križi na Konjiški gori;Pohorje, Dravinjske gorice in Haloze;727;1;['sedlo']
Turn (pri Klopnem vrhu);Pohorje, Dravinjske gorice in Haloze;1261;2;['vrh']
Velika Kopa;Pohorje, Dravinjske gorice in Haloze;1542;3;['vrh']
Veliki vrh (na Pohorju);Pohorje, Dravinjske gorice in Haloze;1344;10;['vrh']
Vodni izvir Zlati studenec;Pohorje, Dravinjske gorice in Haloze;375;1;['']
Vrelenk;Pohorje, Dravinjske gorice in Haloze;1170;1;['']
Žigartov vrh;Pohorje, Dravinjske gorice in Haloze;1346;12;['vrh']
Žusem;Pohorje, Dravinjske gorice in Haloze;669;3;['vrh', 'bivak', 'cerkev']
Bezenica;Polhograjsko hribovje in Ljubljana;476;1;['vrh']
Blagajev grad (Polhograjska graščina);Polhograjsko hribovje in Ljubljana;377;1;['']
Breznik (Boben);Polhograjsko hribovje in Ljubljana;643;2;['vrh']
Brunarica Osovnik;Polhograjsko hribovje in Ljubljana;777;6;['koča']
Bukov vrh;Polhograjsko hribovje in Ljubljana;832;2;['vrh', 'cerkev']
Cankarjev vrh (Rožnik);Polhograjsko hribovje in Ljubljana;394;4;['vrh', 'koča', 'cerkev']
Debeli vrh (nad Topolami);Polhograjsko hribovje in Ljubljana;446;3;['vrh']
Dom na Govejku;Polhograjsko hribovje in Ljubljana;734;2;['koča']
Domačija Pr Lenart (Belo);Polhograjsko hribovje in Ljubljana;650;2;['koča']
Dominov dom;Polhograjsko hribovje in Ljubljana;670;1;['koča']
Ferjanka;Polhograjsko hribovje in Ljubljana;399;3;['vrh', 'koča']
Goli vrh;Polhograjsko hribovje in Ljubljana;962;2;['vrh']
Goljek;Polhograjsko hribovje in Ljubljana;809;4;['vrh']
Gontarska planina;Polhograjsko hribovje in Ljubljana;894;2;['vrh']
Grad Jablje;Polhograjsko hribovje in Ljubljana;310;1;['']
Gradišče (nad Dobrovo);Polhograjsko hribovje in Ljubljana;530;2;['vrh']
Gradišče (Zapoški hrib);Polhograjsko hribovje in Ljubljana;451;1;['vrh']
Gradišče nad Žažarjem;Polhograjsko hribovje in Ljubljana;547;2;['vrh']
Grmada;Polhograjsko hribovje in Ljubljana;676;18;['vrh']
Hom;Polhograjsko hribovje in Ljubljana;715;4;['vrh']
Javorč;Polhograjsko hribovje in Ljubljana;901;3;['vrh', 'koča']
Jermanca (Jermancov grič);Polhograjsko hribovje in Ljubljana;728;1;['vrh']
Jeterbenk;Polhograjsko hribovje in Ljubljana;774;10;['vrh']
Kalvarija;Polhograjsko hribovje in Ljubljana;460;2;['vrh']
Ključ;Polhograjsko hribovje in Ljubljana;623;4;['vrh']
Klobuk pri Ljubljani;Polhograjsko hribovje in Ljubljana;441;2;['vrh']
Koča Klobuk;Polhograjsko hribovje in Ljubljana;433;3;['koča']
Koreno;Polhograjsko hribovje in Ljubljana;729;9;['vrh', 'cerkev']
Koseški bajer;Polhograjsko hribovje in Ljubljana;307;2;['jezero']
Koseški hrib;Polhograjsko hribovje in Ljubljana;467;5;['vrh']
Kožljek;Polhograjsko hribovje in Ljubljana;788;4;['vrh']
Kregovnik;Polhograjsko hribovje in Ljubljana;692;1;['vrh']
Kucelj nad Polhovim Gradcem;Polhograjsko hribovje in Ljubljana;705;3;['vrh']
Kugelč (Šentjošt nad Horjulom);Polhograjsko hribovje in Ljubljana;666;2;['vrh', 'planina', 'cerkev']
Lavrovec;Polhograjsko hribovje in Ljubljana;890;1;['vrh']
Liparjev grič;Polhograjsko hribovje in Ljubljana;374;3;['vrh']
Ljubljanski grad;Polhograjsko hribovje in Ljubljana;376;5;['vrh', 'koča']
Mala Grmada;Polhograjsko hribovje in Ljubljana;853;4;['vrh']
Mali vrh;Polhograjsko hribovje in Ljubljana;708;3;['vrh']
Marinčeva planina (Hrib);Polhograjsko hribovje in Ljubljana;805;2;['vrh']
Mengeška koča na Gobavici;Polhograjsko hribovje in Ljubljana;433;7;['vrh', 'koča']
Mlaka;Polhograjsko hribovje in Ljubljana;914;2;['vrh']
Mlinčki;Polhograjsko hribovje in Ljubljana;340;2;['']
Mostec;Polhograjsko hribovje in Ljubljana;316;1;['koča']
Osolnik;Polhograjsko hribovje in Ljubljana;858;12;['vrh', 'cerkev']
Partizanski dom na Ključu;Polhograjsko hribovje in Ljubljana;550;4;['koča']
Pasja ravan;Polhograjsko hribovje in Ljubljana;1020;4;['vrh']
Planinski dom na Ravneku;Polhograjsko hribovje in Ljubljana;522;1;['koča']
Polhograjska Gora (Sveti Lovrenc);Polhograjsko hribovje in Ljubljana;824;9;['vrh', 'cerkev']
Polhograjska Grmada;Polhograjsko hribovje in Ljubljana;898;17;['vrh']
Rašica (Vrh Staneta Kosca);Polhograjsko hribovje in Ljubljana;641;14;['vrh', 'koča']
Rog;Polhograjsko hribovje in Ljubljana;798;10;['vrh']
Severjev grič;Polhograjsko hribovje in Ljubljana;401;1;['vrh']
Šišenski hrib (Rožnik);Polhograjsko hribovje in Ljubljana;429;3;['vrh']
Sivka;Polhograjsko hribovje in Ljubljana;934;7;['vrh']
Slavkov dom na Golem brdu;Polhograjsko hribovje in Ljubljana;396;2;['koča']
Šmarna gora;Polhograjsko hribovje in Ljubljana;669;23;['vrh', 'koča', 'cerkev']
Smledniški hrib (Stari grad);Polhograjsko hribovje in Ljubljana;517;5;['vrh', 'koča']
Straža;Polhograjsko hribovje in Ljubljana;395;2;['vrh']
Stražni stolp pod vrhom Kovčka;Polhograjsko hribovje in Ljubljana;770;1;['']
Stražni vrh;Polhograjsko hribovje in Ljubljana;439;1;['vrh']
Strmca;Polhograjsko hribovje in Ljubljana;472;7;['vrh']
Strmec (nad Dragomerom);Polhograjsko hribovje in Ljubljana;446;2;['vrh']
Sveta Ana (Butajnova);Polhograjsko hribovje in Ljubljana;686;1;['cerkev']
Sveta Barbara (nad Hrastnico);Polhograjsko hribovje in Ljubljana;629;1;['cerkev']
Sveta Jedert;Polhograjsko hribovje in Ljubljana;750;2;['cerkev']
Sveta Katarina (Topol);Polhograjsko hribovje in Ljubljana;738;9;['cerkev']
Sveta Marjeta pod Jeterbenkom;Polhograjsko hribovje in Ljubljana;482;3;['cerkev']
Sveta Uršula (Setnica);Polhograjsko hribovje in Ljubljana;700;2;['cerkev']
Sveti Andrej (nad Zmincem);Polhograjsko hribovje in Ljubljana;617;2;['vrh', 'koča', 'cerkev']
Sveti Andrej (Planina nad Horjulom);Polhograjsko hribovje in Ljubljana;798;2;['vrh', 'cerkev']
Sveti Florijan (Tehovec);Polhograjsko hribovje in Ljubljana;685;4;['vrh', 'cerkev']
Sveti Jakob;Polhograjsko hribovje in Ljubljana;806;14;['vrh', 'cerkev']
Sveti Jurij (Hruševo);Polhograjsko hribovje in Ljubljana;414;1;['vrh', 'cerkev']
Sveti Jurij (Praproče);Polhograjsko hribovje in Ljubljana;552;1;['cerkev']
Sveti križ na Hribcu;Polhograjsko hribovje in Ljubljana;380;1;['']
Sveti Lenart;Polhograjsko hribovje in Ljubljana;861;1;['vrh', 'cerkev']
Sveti Martin nad Brišami;Polhograjsko hribovje in Ljubljana;567;1;['cerkev']
Sveti Mihael na Samotorici;Polhograjsko hribovje in Ljubljana;665;1;['cerkev']
Sveti Ožbolt (nad Zmincem);Polhograjsko hribovje in Ljubljana;859;4;['vrh', 'cerkev']
Sveti Tilen nad Repnjami;Polhograjsko hribovje in Ljubljana;419;1;['cerkev']
Sveti Urban (nad Gorenjo Dobravo);Polhograjsko hribovje in Ljubljana;570;2;['vrh', 'cerkev']
Sveti Urh (nad Zaklancem);Polhograjsko hribovje in Ljubljana;420;3;['vrh', 'cerkev']
Tabor (nad Črnučami);Polhograjsko hribovje in Ljubljana;370;1;['vrh']
Tošč;Polhograjsko hribovje in Ljubljana;1021;13;['vrh']
Toško Čelo;Polhograjsko hribovje in Ljubljana;590;6;['vrh', 'koča']
Veliki hrib;Polhograjsko hribovje in Ljubljana;815;1;['vrh']
Veliki vrh (Rašica);Polhograjsko hribovje in Ljubljana;568;1;['vrh']
Visoki hrib;Polhograjsko hribovje in Ljubljana;602;2;['vrh']
Vrh (Debeli hrib);Polhograjsko hribovje in Ljubljana;540;7;['vrh']
Vrhe nad Dobrovo;Polhograjsko hribovje in Ljubljana;603;2;['vrh']
Vrhovčev grič;Polhograjsko hribovje in Ljubljana;495;5;['vrh']
Adijev bivak na Reški planini;Posavsko hribovje in Dolenjska;910;1;['bivak']
Ajdovščina nad Ihanom;Posavsko hribovje in Dolenjska;495;1;['vrh']
Almin dom na Svetini;Posavsko hribovje in Dolenjska;772;12;['koča', 'cerkev']
Baba;Posavsko hribovje in Dolenjska;789;1;['vrh']
Babni vrh;Posavsko hribovje in Dolenjska;753;4;['vrh']
Bajturn (Zaplaški hrib);Posavsko hribovje in Dolenjska;609;8;['vrh']
Bavč;Posavsko hribovje in Dolenjska;692;4;['vrh']
Brest (Bohor);Posavsko hribovje in Dolenjska;808;5;['vrh']
Celjska koča;Posavsko hribovje in Dolenjska;652;13;['koča']
Cerkev Lurške Matere Božje (Lurd);Posavsko hribovje in Dolenjska;300;1;['cerkev']
Cerkev sv. Krištofa na Gramnu;Posavsko hribovje in Dolenjska;324;1;['vrh', 'cerkev']
Cerkev sv. Mihaela na Šmihelu;Posavsko hribovje in Dolenjska;442;2;['vrh', 'cerkev']
Cicelj;Posavsko hribovje in Dolenjska;836;7;['vrh']
